threshold_db	duration	silence_start	silence_end	midpoint
-20	0.06	211.020000	211.299800	211.159900
-20	0.06	211.400600	211.538100	211.469350
-20	0.06	212.472100	212.649100	212.560600
-20	0.06	212.764500	212.871800	212.818150
-20	0.06	213.175700	213.298300	213.237000
-20	0.06	213.307900	213.386100	213.347000
-20	0.06	213.598800	213.737300	213.668050
-20	0.06	213.980700	214.097700	214.039200
-20	0.06	214.354700	214.770500	214.562600
-20	0.06	215.372900	215.572000	215.472450
-20	0.06	216.054600	216.362000	216.208300
-20	0.06	216.658300	216.844800	216.751550
-20	0.06	216.933200	217.115900	217.024550
-20	0.06	217.177300	217.289800	217.233550
-20	0.06	217.376400	217.467900	217.422150
-20	0.06	217.896800	219.202300	218.549550
-20	0.06	219.209800	219.277000	219.243400
-20	0.06	219.469500	219.579000	219.524250
-20	0.06	219.678000	219.823100	219.750550
-20	0.06	220.163400	220.235900	220.199650
-20	0.06	220.242400	220.318900	220.280650
-20	0.06	220.695300	220.833200	220.764250
-20	0.06	221.412200	221.571700	221.491950
-20	0.06	221.869800	221.966800	221.918300
-20	0.06	222.090200	222.187800	222.139000
-20	0.06	222.790600	223.287900	223.039250
-20	0.06	225.036600	225.644000	225.340300
-20	0.06	226.139600	226.219000	226.179300
-20	0.06	226.871600	226.943200	226.907400
-20	0.06	227.269000	227.609900	227.439450
-20	0.06	228.019100	228.163600	228.091350
-20	0.06	228.594700	228.657400	228.626050
-20	0.06	228.726100	228.791200	228.758650
-20	0.06	229.387600	229.554200	229.470900
-20	0.06	230.951800	231.543200	231.247500
-20	0.06	231.954600	232.107600	232.031100
-20	0.06	233.026500	233.123800	233.075150
-20	0.06	233.209600	233.272900	233.241250
-20	0.06	233.344000	233.408900	233.376450
-20	0.06	233.543700	233.690500	233.617100
-20	0.06	233.939400	234.041300	233.990350
-20	0.06	234.222800	234.308100	234.265450
-20	0.06	234.702800	234.828500	234.765650
-20	0.06	235.020100	235.556000	235.288050
-20	0.06	235.668700	235.761100	235.714900
-20	0.06	236.283100	236.363800	236.323450
-20	0.06	236.481100	236.628600	236.554850
-20	0.06	237.174000	237.297700	237.235850
-20	0.06	237.304500	237.369100	237.336800
-20	0.06	237.775800	237.903000	237.839400
-20	0.06	239.081300	241.752400	240.416850
-20	0.10	199.503110	199.645170	199.574140
-20	0.10	199.777030	199.966530	199.871780
-20	0.10	200.165350	200.314080	200.239715
-20	0.10	200.860230	202.407460	201.633845
-20	0.10	202.667280	202.791360	202.729320
-20	0.10	203.309770	203.469020	203.389395
-20	0.10	205.771700	206.167400	205.969550
-20	0.10	206.242600	206.344800	206.293700
-20	0.10	207.740200	208.100500	207.920350
-20	0.10	208.584400	208.726400	208.655400
-20	0.10	209.896400	210.314900	210.105650
-20	0.10	210.662300	210.774000	210.718150
-20	0.10	211.020000	211.299800	211.159900
-20	0.10	211.400600	211.538100	211.469350
-20	0.10	212.472100	212.649100	212.560600
-20	0.10	212.764500	212.871800	212.818150
-20	0.10	213.175700	213.298300	213.237000
-20	0.10	213.598800	213.737300	213.668050
-20	0.10	213.980700	214.097700	214.039200
-20	0.10	214.354700	214.770500	214.562600
-20	0.10	215.372900	215.572000	215.472450
-20	0.10	216.054600	216.362000	216.208300
-20	0.10	216.658300	216.844800	216.751550
-20	0.10	216.933200	217.115900	217.024550
-20	0.10	217.177300	217.289800	217.233550
-20	0.10	217.896800	219.202300	218.549550
-20	0.10	219.469500	219.579000	219.524250
-20	0.10	219.678000	219.823100	219.750550
-20	0.10	220.695300	220.833200	220.764250
-20	0.10	221.412200	221.571700	221.491950
-20	0.10	222.790600	223.287900	223.039250
-20	0.10	225.036600	225.644000	225.340300
-20	0.10	227.269000	227.609900	227.439450
-20	0.10	228.019100	228.163600	228.091350
-20	0.10	229.387600	229.554200	229.470900
-20	0.10	230.951800	231.543200	231.247500
-20	0.10	231.954600	232.107600	232.031100
-20	0.10	233.543700	233.690500	233.617100
-20	0.10	233.939400	234.041300	233.990350
-20	0.10	234.702800	234.828500	234.765650
-20	0.10	235.020100	235.556000	235.288050
-20	0.10	236.481100	236.628600	236.554850
-20	0.10	237.174000	237.297700	237.235850
-20	0.10	237.775800	237.903000	237.839400
-20	0.10	239.081300	241.752400	240.416850
-24	0.02	199.255760	199.318230	199.286995
-24	0.02	199.534470	199.635330	199.584900
-24	0.02	199.885170	199.961110	199.923140
-24	0.02	200.185170	200.275260	200.230215
-24	0.02	200.275370	200.297800	200.286585
-24	0.02	200.948340	202.389910	201.669125
-24	0.02	202.671520	202.787050	202.729285
-24	0.02	203.357100	203.455780	203.406440
-24	0.02	203.561660	203.590500	203.576080
-24	0.02	205.788200	206.151100	205.969650
-24	0.02	206.261000	206.341500	206.301250
-24	0.02	206.547600	206.626800	206.587200
-24	0.02	207.757000	208.100100	207.928550
-24	0.02	208.266600	208.304600	208.285600
-24	0.02	208.612800	208.723400	208.668100
-24	0.02	209.904200	210.290500	210.097350
-24	0.02	210.671800	210.769700	210.720750
-24	0.02	211.047100	211.299700	211.173400
-24	0.02	211.426800	211.536400	211.481600
-24	0.02	212.484200	212.642200	212.563200
-24	0.02	212.791800	212.860000	212.825900
-24	0.02	213.200200	213.288800	213.244500
-24	0.02	213.630500	213.652200	213.641350
-24	0.02	213.652200	213.737000	213.694600
-24	0.02	213.991500	214.097400	214.044450
-24	0.02	214.363100	214.760900	214.562000
-24	0.02	214.964000	214.985300	214.974650
-24	0.02	215.392400	215.445200	215.418800
-24	0.02	215.507900	215.562300	215.535100
-24	0.02	215.718800	215.757400	215.738100
-24	0.02	216.067600	216.357500	216.212550
-24	0.02	216.676800	216.844100	216.760450
-24	0.02	217.196300	217.284200	217.240250
-24	0.02	217.915400	219.194400	218.554900
-24	0.02	219.476000	219.577900	219.526950
-24	0.02	219.690500	219.821400	219.755950
-24	0.02	220.167200	220.230000	220.198600
-24	0.02	220.261900	220.284100	220.273000
-24	0.02	220.733800	220.821900	220.777850
-24	0.02	221.421600	221.550300	221.485950
-24	0.02	221.650100	221.672600	221.661350
-24	0.02	221.900500	221.935400	221.917950
-24	0.02	222.107100	222.138600	222.122850
-24	0.02	222.152200	222.184400	222.168300
-24	0.02	222.801900	223.280900	223.041400
-24	0.02	224.153000	224.200600	224.176800
-24	0.02	225.049300	225.636600	225.342950
-24	0.02	226.160800	226.211900	226.186350
-24	0.02	226.591000	226.611500	226.601250
-24	0.02	227.280000	227.607500	227.443750
-24	0.02	228.044200	228.163500	228.103850
-24	0.02	228.732400	228.776900	228.754650
-24	0.02	229.436600	229.551400	229.494000
-24	0.02	230.464800	230.495100	230.479950
-24	0.02	230.961500	231.534500	231.248000
-24	0.02	231.989400	232.036400	232.012900
-24	0.02	232.056200	232.107500	232.081850
-24	0.02	233.043500	233.102300	233.072900
-24	0.02	233.357400	233.396800	233.377100
-24	0.02	233.571500	233.688000	233.629750
-24	0.02	233.964900	234.029400	233.997150
-24	0.02	234.231100	234.305100	234.268100
-24	0.02	234.558800	234.583900	234.571350
-24	0.02	234.711000	234.814100	234.762550
-24	0.02	235.034100	235.555300	235.294700
-24	0.02	235.690300	235.758700	235.724500
-24	0.02	236.296100	236.363800	236.329950
-24	0.02	236.496000	236.624900	236.560450
-24	0.02	237.192900	237.262800	237.227850
-24	0.02	237.791000	237.892300	237.841650
-24	0.02	239.095000	241.751100	240.423050
-24	0.04	199.255760	199.318230	199.286995
-24	0.04	199.534470	199.635330	199.584900
-24	0.04	199.885170	199.961110	199.923140
-24	0.04	200.185170	200.275260	200.230215
-24	0.04	200.948340	202.389910	201.669125
-24	0.04	202.671520	202.787050	202.729285
-24	0.04	203.357100	203.455780	203.406440
-24	0.04	205.788200	206.151100	205.969650
-24	0.04	206.261000	206.341500	206.301250
-24	0.04	206.547600	206.626800	206.587200
-24	0.04	207.757000	208.100100	207.928550
-24	0.04	208.612800	208.723400	208.668100
-24	0.04	209.904200	210.290500	210.097350
-24	0.04	210.671800	210.769700	210.720750
-24	0.04	211.047100	211.299700	211.173400
-24	0.04	211.426800	211.536400	211.481600
-24	0.04	212.484200	212.642200	212.563200
-24	0.04	212.791800	212.860000	212.825900
-24	0.04	213.200200	213.288800	213.244500
-24	0.04	213.652200	213.737000	213.694600
-24	0.04	213.991500	214.097400	214.044450
-24	0.04	214.363100	214.760900	214.562000
-24	0.04	215.392400	215.445200	215.418800
-24	0.04	215.507900	215.562300	215.535100
-24	0.04	216.067600	216.357500	216.212550
-24	0.04	216.676800	216.844100	216.760450
-24	0.04	217.196300	217.284200	217.240250
-24	0.04	217.915400	219.194400	218.554900
-24	0.04	219.476000	219.577900	219.526950
-24	0.04	219.690500	219.821400	219.755950
-24	0.04	220.167200	220.230000	220.198600
-24	0.04	220.733800	220.821900	220.777850
-24	0.04	221.421600	221.550300	221.485950
-24	0.04	222.801900	223.280900	223.041400
-24	0.04	224.153000	224.200600	224.176800
-24	0.04	225.049300	225.636600	225.342950
-24	0.04	226.160800	226.211900	226.186350
-24	0.04	227.280000	227.607500	227.443750
-24	0.04	228.044200	228.163500	228.103850
-24	0.04	228.732400	228.776900	228.754650
-24	0.04	229.436600	229.551400	229.494000
-24	0.04	230.961500	231.534500	231.248000
-24	0.04	231.989400	232.036400	232.012900
-24	0.04	232.056200	232.107500	232.081850
-24	0.04	233.043500	233.102300	233.072900
-24	0.04	233.571500	233.688000	233.629750
-24	0.04	233.964900	234.029400	233.997150
-24	0.04	234.231100	234.305100	234.268100
-24	0.04	234.711000	234.814100	234.762550
-24	0.04	235.034100	235.555300	235.294700
-24	0.04	235.690300	235.758700	235.724500
-24	0.04	236.296100	236.363800	236.329950
-24	0.04	236.496000	236.624900	236.560450
-24	0.04	237.192900	237.262800	237.227850
-24	0.04	237.791000	237.892300	237.841650
-24	0.04	239.095000	241.751100	240.423050
-24	0.06	199.255760	199.318230	199.286995
-24	0.06	199.534470	199.635330	199.584900
-24	0.06	199.885170	199.961110	199.923140
-24	0.06	200.185170	200.275260	200.230215
-24	0.06	200.948340	202.389910	201.669125
-24	0.06	202.671520	202.787050	202.729285
-24	0.06	203.357100	203.455780	203.406440
-24	0.06	205.788200	206.151100	205.969650
-24	0.06	206.261000	206.341500	206.301250
-24	0.06	206.547600	206.626800	206.587200
-24	0.06	207.757000	208.100100	207.928550
-24	0.06	208.612800	208.723400	208.668100
-24	0.06	209.904200	210.290500	210.097350
-24	0.06	210.671800	210.769700	210.720750
-24	0.06	211.047100	211.299700	211.173400
-24	0.06	211.426800	211.536400	211.481600
-24	0.06	212.484200	212.642200	212.563200
-24	0.06	212.791800	212.860000	212.825900
-24	0.06	213.200200	213.288800	213.244500
-24	0.06	213.652200	213.737000	213.694600
-24	0.06	213.991500	214.097400	214.044450
-24	0.06	214.363100	214.760900	214.562000
-24	0.06	216.067600	216.357500	216.212550
-24	0.06	216.676800	216.844100	216.760450
-24	0.06	217.196300	217.284200	217.240250
-24	0.06	217.915400	219.194400	218.554900
-24	0.06	219.476000	219.577900	219.526950
-24	0.06	219.690500	219.821400	219.755950
-24	0.06	220.167200	220.230000	220.198600
-24	0.06	220.733800	220.821900	220.777850
-24	0.06	221.421600	221.550300	221.485950
-24	0.06	222.801900	223.280900	223.041400
-24	0.06	225.049300	225.636600	225.342950
-24	0.06	227.280000	227.607500	227.443750
-24	0.06	228.044200	228.163500	228.103850
-24	0.06	229.436600	229.551400	229.494000
-24	0.06	230.961500	231.534500	231.248000
-24	0.06	233.571500	233.688000	233.629750
-24	0.06	233.964900	234.029400	233.997150
-24	0.06	234.231100	234.305100	234.268100
-24	0.06	234.711000	234.814100	234.762550
-24	0.06	235.034100	235.555300	235.294700
-24	0.06	235.690300	235.758700	235.724500
-24	0.06	236.296100	236.363800	236.329950
-24	0.06	236.496000	236.624900	236.560450
-24	0.06	237.192900	237.262800	237.227850
-24	0.06	237.791000	237.892300	237.841650
-24	0.06	239.095000	241.751100	240.423050
-24	0.10	199.534470	199.635330	199.584900
-24	0.10	200.948340	202.389910	201.669125
-24	0.10	202.671520	202.787050	202.729285
-24	0.10	205.788200	206.151100	205.969650
-24	0.10	207.757000	208.100100	207.928550
-24	0.10	208.612800	208.723400	208.668100
-24	0.10	209.904200	210.290500	210.097350
-24	0.10	211.047100	211.299700	211.173400
-24	0.10	211.426800	211.536400	211.481600
-24	0.10	212.484200	212.642200	212.563200
-24	0.10	213.991500	214.097400	214.044450
-24	0.10	214.363100	214.760900	214.562000
-24	0.10	216.067600	216.357500	216.212550
-24	0.10	216.676800	216.844100	216.760450
-24	0.10	217.915400	219.194400	218.554900
-24	0.10	219.476000	219.577900	219.526950
-24	0.10	219.690500	219.821400	219.755950
-24	0.10	221.421600	221.550300	221.485950
-24	0.10	222.801900	223.280900	223.041400
-24	0.10	225.049300	225.636600	225.342950
-24	0.10	227.280000	227.607500	227.443750
-24	0.10	228.044200	228.163500	228.103850
-24	0.10	229.436600	229.551400	229.494000
-24	0.10	230.961500	231.534500	231.248000
-24	0.10	233.571500	233.688000	233.629750
-24	0.10	234.711000	234.814100	234.762550
-24	0.10	235.034100	235.555300	235.294700
